company_id,company_name,slug,website,source_primary,source_url,hq_city,hq_state,nyc_presence,yc_batch,batch_year,industry_tags,subindustry,ai_category,estimated_stage,team_size_text,hiring_status,one_liner,all_locations,collected_at,notes
yc-28812,Cedana,cedana,https://cedana.ai,yc_oss_api,https://www.ycombinator.com/companies/cedana,New York,NY,hq_nyc,Summer 2023,2023,Deep Learning|Developer Tools|Cloud Computing|Infrastructure|AI,B2B -> Infrastructure,devtools_ai,seed,5,hiring,"Fast, reliable, reproducible AI with GPU live migration","New York, NY, USA; Remote",2026-07-08T02:41:54Z,
yc-25763,Cinder,cinder-2,https://cinder.ai,yc_oss_api,https://www.ycombinator.com/companies/cinder-2,New York,NY,hq_nyc,Winter 2022,2022,SaaS|B2B|Compliance|Trust & Safety|AI,B2B -> Security,ai_enabled_vertical_saas,series_a_plus,30,hiring,Infrastructure to protect companies from AI abuse,"New York, NY, USA",2026-07-08T02:41:54Z,
yc-30429,Claim Health,claim-health,https://www.claimhealth.com,yc_oss_api,https://www.ycombinator.com/companies/claim-health,New York,NY,hq_nyc,Spring 2025,2025,Healthcare,Healthcare,health_ai,seed,6,hiring,AI Revenue Platform for Post-Acute Care,"New York, NY, USA",2026-07-08T02:41:54Z,
yc-29339,Clarion,clarion,https://clarionhealth.com,yc_oss_api,https://www.ycombinator.com/companies/clarion,New York,NY,hq_nyc,Winter 2024,2024,Health Tech|Digital Health|Healthcare|AI,Healthcare -> Healthcare IT,health_ai,seed,14,hiring,The AI communication layer for healthcare,"New York, NY, USA",2026-07-08T02:41:54Z,
yc-28780,Clearest Health,clearest-health,https://clearesthealth.com/,yc_oss_api,https://www.ycombinator.com/companies/clearest-health,New York,NY,hq_nyc,Summer 2023,2023,SaaS|Health Tech|B2B|Healthcare IT|AI,Healthcare -> Healthcare IT,health_ai,seed,3,hiring,AI revenue recovery for underpaid healthcare claims.,"New York, NY, USA",2026-07-08T02:41:54Z,
yc-30209,Closure,closure,https://closure-intel.com/,yc_oss_api,https://www.ycombinator.com/companies/closure,New York,NY,hq_nyc,Winter 2025,2025,Artificial Intelligence|GovTech,Government,core_ai,seed,10,hiring,We help law enforcement solve crime,"New York City, NY, USA",2026-07-08T02:41:54Z,
yc-29627,Codes Health,codes-health,https://www.codeshealth.com/,yc_oss_api,https://www.ycombinator.com/companies/codes-health,New York,NY,hq_nyc,Summer 2024,2024,Artificial Intelligence|Health Tech|B2B|LegalTech,B2B,health_ai,seed,12,hiring,Medical Record Retrieval with Zero Human Error,"New York, NY, USA",2026-07-08T02:41:54Z,
yc-25672,Cogram,cogram,https://cogram.com,yc_oss_api,https://www.ycombinator.com/companies/cogram,New York,NY,hq_nyc,Winter 2022,2022,Artificial Intelligence|B2B,B2B -> Productivity,core_ai,seed,15,hiring,"The AI Platform for Architects, Builders, and Engineers","New York, NY, USA",2026-07-08T02:41:54Z,
yc-30091,CollectWise,collectwise,https://collectwise.com/,yc_oss_api,https://www.ycombinator.com/companies/collectwise,New York,NY,hq_nyc,Fall 2024,2024,,Fintech,fintech_ai,seed,8,hiring,Automating consumer debt collection with AI,"New York City, NY, USA",2026-07-08T02:41:54Z,
yc-27699,Concourse,concourse,https://concourse.co/,yc_oss_api,https://www.ycombinator.com/companies/concourse,New York,NY,hq_nyc,Winter 2023,2023,Artificial Intelligence|Fintech|SaaS|B2B|AI,B2B -> Finance and Accounting,fintech_ai,seed,7,hiring,AI Agents for corporate finance teams,"New York City, NY, USA",2026-07-08T02:41:54Z,
yc-24064,Confido,confido,https://www.confidotech.com,yc_oss_api,https://www.ycombinator.com/companies/confido,New York,NY,hq_nyc,Summer 2021,2021,Artificial Intelligence|Fintech|SaaS|B2B|Analytics,B2B -> Finance and Accounting,fintech_ai,series_a_plus,28,hiring,AI-enabled financial automation and intelligence for CPG Brands,"New York City, NY, USA",2026-07-08T02:41:54Z,
yc-25680,Cotera,cotera,https://cotera.co,yc_oss_api,https://www.ycombinator.com/companies/cotera,New York,NY,hq_nyc,Winter 2022,2022,Artificial Intelligence|Analytics|Marketing,B2B -> Analytics,data_infra,seed,8,hiring,The fastest way to build an AI agent,"New York, NY, USA",2026-07-08T02:41:54Z,
yc-27260,Coverage Cat,coverage-cat,https://www.coveragecat.com/,yc_oss_api,https://www.ycombinator.com/companies/coverage-cat,New York,NY,hq_nyc,Summer 2022,2022,Fintech|Machine Learning|Insurance,Fintech -> Insurance,fintech_ai,seed,4,hiring,Consumer Optimized Insurance,"New York City, NY, USA; Remote",2026-07-08T02:41:54Z,
yc-25332,Craniometrix,craniometrix,https://craniometrix.com,yc_oss_api,https://www.ycombinator.com/companies/craniometrix,New York,NY,hq_nyc,Winter 2022,2022,Neurotechnology|Health Tech,Healthcare,health_ai,seed,64,hiring,Using AI to help dementia patients age at home,"New York, NY, USA",2026-07-08T02:41:54Z,
yc-27690,Credal.ai,credal-ai,https://credal.ai,yc_oss_api,https://www.ycombinator.com/companies/credal-ai,New York,NY,hq_nyc,Winter 2023,2023,Artificial Intelligence|Generative AI|Cybersecurity|Enterprise,B2B -> Productivity,ai_enabled_vertical_saas,seed,14,hiring,The Control Plane for Enterprise Agents,"New York, NY, USA",2026-07-08T02:41:54Z,
yc-21781,Datafold,datafold,https://datafold.com,yc_oss_api,https://www.ycombinator.com/companies/datafold,New York,NY,hq_nyc,Summer 2020,2020,SaaS|Analytics|Data Engineering|AI,B2B -> Analytics,data_infra,series_a_plus,30,hiring,Automating manual and repetitive data engineering tasks with AI,"New York, NY, USA; Remote",2026-07-08T02:41:54Z,
yc-22076,Dataland,dataland,https://dataland.io,yc_oss_api,https://www.ycombinator.com/companies/dataland,New York,NY,hq_nyc,Summer 2020,2020,B2B|Data Engineering|Data Visualization|AI,B2B -> Operations,data_infra,seed,4,hiring,AI agents for customer support.,"New York, NY, USA",2026-07-08T02:41:54Z,
yc-29092,dili,dili,https://www.dili.com,yc_oss_api,https://www.ycombinator.com/companies/dili,New York,NY,hq_nyc,Summer 2023,2023,Artificial Intelligence|Fintech|B2B|Compliance|Energy,B2B -> Finance and Accounting,fintech_ai,series_a_plus,15,hiring,Automating PWA Compliance and Diligence,"New York City, NY, USA",2026-07-08T02:41:54Z,
yc-30993,DiligenceSquared,diligencesquared-inc,https://diligencesquared.com/,yc_oss_api,https://www.ycombinator.com/companies/diligencesquared-inc,New York,NY,hq_nyc,Fall 2025,2025,Artificial Intelligence|Analytics|Market Research,B2B -> Analytics,data_infra,seed,3,hiring,AI-powered market due diligence for investment decisions,"New York City, NY, USA",2026-07-08T02:41:54Z,
yc-29851,"Diode Computers, Inc.",diode-computers-inc,https://diode.computer,yc_oss_api,https://www.ycombinator.com/companies/diode-computers-inc,New York,NY,hq_nyc,Summer 2024,2024,Hardware|Manufacturing|Electronics,"B2B -> Engineering, Product and Design",ai_enabled_vertical_saas,series_a_plus,10,hiring,Automate circuit board design using AI,"New York City, NY, USA",2026-07-08T02:41:54Z,
yc-22131,Draftwise,draftwise,https://www.draftwise.com/,yc_oss_api,https://www.ycombinator.com/companies/draftwise,New York,NY,hq_nyc,Summer 2020,2020,Generative AI|SaaS|B2B|LegalTech,B2B -> Legal,ai_enabled_vertical_saas,series_a_plus,50,hiring,Contract and negotiation AI built for lawyers,"New York, NY, USA",2026-07-08T02:41:54Z,
yc-27860,Dream3D,dream3d,https://dream3d.com,yc_oss_api,https://www.ycombinator.com/companies/dream3d,New York,NY,hq_nyc,Winter 2023,2023,Generative AI|Computer Vision|AI,"B2B -> Engineering, Product and Design",core_ai,seed,3,hiring,Generative AI Worlds,"New York City, NY, USA",2026-07-08T02:41:54Z,
yc-29841,Elayne,elayne,https://www.elayne.com/,yc_oss_api,https://www.ycombinator.com/companies/elayne,New York,NY,hq_nyc,Summer 2024,2024,Fintech|B2B|Legal|Consumer Finance|AI,Fintech,fintech_ai,seed,8,hiring,"Estate settlement, from verified discovery to distribution","New York, NY, USA",2026-07-08T02:41:54Z,
yc-29676,Elevate,elevate-2,https://www.useelevate.dev/,yc_oss_api,https://www.ycombinator.com/companies/elevate-2,New York,NY,hq_nyc,Summer 2024,2024,AIOps|Artificial Intelligence|Finance|B2B|Automation,B2B,fintech_ai,seed,3,hiring,Automated AI data integrations for roll-ups,"New York, NY, USA",2026-07-08T02:41:54Z,
yc-29365,Ellipsis,ellipsis,https://ellipsis.dev,yc_oss_api,https://www.ycombinator.com/companies/ellipsis,New York,NY,hq_nyc,Winter 2024,2024,Artificial Intelligence|Developer Tools|Machine Learning|AI,"B2B -> Engineering, Product and Design",devtools_ai,seed,2,hiring,AI code reviews & bug fixes,"New York City, NY, USA",2026-07-08T02:41:54Z,
yc-28936,Empirical Health,empirical-health,https://empirical.health,yc_oss_api,https://www.ycombinator.com/companies/empirical-health,New York,NY,hq_nyc,Summer 2023,2023,Generative AI|Machine Learning|Consumer Health Services|Healthcare|AI,Healthcare -> Consumer Health and Wellness,health_ai,seed,4,hiring,Don't die of heart disease. Empirical is the first AI-native heart…,"New York, NY, USA",2026-07-08T02:41:54Z,
yc-30832,F2,f2,http://f2.ai,yc_oss_api,https://www.ycombinator.com/companies/f2,New York,NY,hq_nyc,Summer 2025,2025,AI,"B2B -> Engineering, Product and Design",core_ai,seed,15,hiring,The AI platform for private markets investors,"New York, NY, USA",2026-07-08T02:41:54Z,
yc-29074,Fiber AI,fiber-ai,https://www.fiber.ai/apis,yc_oss_api,https://www.ycombinator.com/companies/fiber-ai,New York,NY,hq_nyc,Summer 2023,2023,Generative AI|SaaS|Recruiting|Sales|AI,B2B,ai_enabled_vertical_saas,seed,8,hiring,"The freshest data APIs for AI sales, recruiting, & growth products","New York City, NY, USA",2026-07-08T02:41:54Z,
yc-29735,FINNY AI,finny-ai,https://www.finny.com/,yc_oss_api,https://www.ycombinator.com/companies/finny-ai,New York,NY,hq_nyc,Summer 2024,2024,Fintech|Machine Learning|Finance|Sales Enablement|Automation,Fintech -> Asset Management,fintech_ai,series_a_plus,35,hiring,The organic growth engine for financial advisors ,"New York City, NY, USA",2026-07-08T02:41:54Z,
yc-29796,Finosu,finosu,https://www.finosu.com,yc_oss_api,https://www.ycombinator.com/companies/finosu,New York,NY,hq_nyc,Summer 2024,2024,Fintech|B2B|Lending|Consumer Finance,Fintech -> Credit and Lending,fintech_ai,seed,7,hiring,AI Native Consumer Loan Servicer,"New York City, NY, USA",2026-07-08T02:41:54Z,
yc-30775,Fleetline,fleetline,https://fleetline.ai,yc_oss_api,https://www.ycombinator.com/companies/fleetline,New York,NY,hq_nyc,Summer 2025,2025,Artificial Intelligence|Logistics|Supply Chain|Data Science,B2B -> Supply Chain and Logistics,data_infra,seed,11,hiring,Optimizing fleet planning with data driven algorithms,"New York, NY, USA",2026-07-08T02:41:54Z,
yc-27704,FlexDesk,flexdesk,https://www.flexdesk.com/,yc_oss_api,https://www.ycombinator.com/companies/flexdesk,New York,NY,hq_nyc,Winter 2023,2023,Real Estate|B2B|HR Tech|Proptech,B2B -> Office Management,ai_enabled_vertical_saas,seed,8,hiring,AI Agents for corporate real estate teams,"New York, NY, USA; Remote",2026-07-08T02:41:54Z,
yc-28982,Flint,flint-2,http://flintk12.com/,yc_oss_api,https://www.ycombinator.com/companies/flint-2,New York,NY,hq_nyc,Summer 2023,2023,Education|Generative AI|Edtech|AI,Education,ai_enabled_vertical_saas,series_a_plus,18,hiring,Personalized learning built for schools,"New York, NY, USA",2026-07-08T02:41:54Z,
yc-22218,Glimpse,glimpse-2,https://tryglimpse.com/,yc_oss_api,https://www.ycombinator.com/companies/glimpse-2,New York,NY,hq_nyc,Summer 2020,2020,Artificial Intelligence|E-commerce|Food & Beverage|Retail,B2B -> Retail,ai_enabled_vertical_saas,series_a_plus,27,hiring,Glimpse is the system of action for CPG retail operations,"New York City, NY, USA",2026-07-08T02:41:54Z,
yc-26125,GovDash,govdash,https://govdash.com/,yc_oss_api,https://www.ycombinator.com/companies/govdash,New York,NY,hq_nyc,Winter 2022,2022,Artificial Intelligence|Generative AI|GovTech,Government,core_ai,series_a_plus,56,hiring,AI platform to win and run government contracts,"New York City, NY, USA",2026-07-08T02:41:54Z,
yc-27822,GovEagle,goveagle,https://www.goveagle.com/,yc_oss_api,https://www.ycombinator.com/companies/goveagle,New York,NY,hq_nyc,Winter 2023,2023,,Government,other,seed,25,hiring,AI for Government Contractors,"New York City, NY, USA",2026-07-08T02:41:54Z,
yc-29298,Greenboard,greenboard,https://www.greenboard.com,yc_oss_api,https://www.ycombinator.com/companies/greenboard,New York,NY,hq_nyc,Winter 2024,2024,Artificial Intelligence|Fintech|SaaS|Compliance|Operations,Fintech,fintech_ai,series_a_plus,26,hiring,Modern OS for the financial back office. ,"New York, NY, USA",2026-07-08T02:41:54Z,
yc-28940,Guac,guac,https://www.guac.com/,yc_oss_api,https://www.ycombinator.com/companies/guac,New York,NY,hq_nyc,Summer 2023,2023,Grocery|Machine Learning|Climate|Supply Chain,B2B -> Supply Chain and Logistics,ai_enabled_vertical_saas,seed,7,hiring,AI-powered forecasting & replenishment for grocery,"New York, NY, USA",2026-07-08T02:41:54Z,
yc-27943,Hadrius,hadrius,https://www.hadrius.com,yc_oss_api,https://www.ycombinator.com/companies/hadrius,New York,NY,hq_nyc,Winter 2023,2023,SaaS|B2B|Compliance|Regtech|AI,Fintech -> Asset Management,fintech_ai,series_a_plus,80,hiring,Automating Securities Compliance,"New York, NY, USA",2026-07-08T02:41:54Z,
yc-27855,Haven,haven-2,https://www.usehaven.ai/,yc_oss_api,https://www.ycombinator.com/companies/haven-2,New York,NY,hq_nyc,Winter 2023,2023,SaaS|Real Estate|B2B|Proptech|AI,B2B,ai_enabled_vertical_saas,seed,3,hiring,AI workforce for property management,"New York City, NY, USA",2026-07-08T02:41:54Z,
yc-29385,Hazel,hazel-2,https://hazelai.com,yc_oss_api,https://www.ycombinator.com/companies/hazel-2,New York,NY,hq_nyc,Winter 2024,2024,GovTech|Procurement|AI,Government,core_ai,seed,5,hiring,AI-enabled procurement for government,"New York, NY, USA",2026-07-08T02:41:54Z,
yc-22277,Heron Data,heron-data,https://www.herondata.io,yc_oss_api,https://www.ycombinator.com/companies/heron-data,New York,NY,hq_nyc,Summer 2020,2020,Fintech|SaaS|B2B|AI,B2B,fintech_ai,seed,60,hiring,We automate document-heavy workflows in financial services and beyond,"New York, NY, USA",2026-07-08T02:41:54Z,
yc-28091,Hindsight,hindsight,https://www.usehindsight.com/,yc_oss_api,https://www.ycombinator.com/companies/hindsight,New York,NY,hq_nyc,Winter 2023,2023,B2B|Analytics|Sales|Sales Enablement|AI,B2B -> Sales,data_infra,seed,3,hiring,Deal Intelligence and Sales Coaching Platform,"New York City, NY, USA",2026-07-08T02:41:54Z,
yc-27109,HOMLI,homli,https://thehomli.com,yc_oss_api,https://www.ycombinator.com/companies/homli,New York,NY,hq_nyc,Summer 2022,2022,Artificial Intelligence|Real Estate|Consumer|Proptech|AI,Real Estate and Construction -> Housing and Real Estate,ai_enabled_vertical_saas,seed,20,hiring,Sell your home without brokers,"New York, NY, USA",2026-07-08T02:41:54Z,
yc-25983,Housewarming,housewarming,https://housewarming.me,yc_oss_api,https://www.ycombinator.com/companies/housewarming,New York,NY,hq_nyc,Winter 2022,2022,Artificial Intelligence|Consumer|Entertainment|Social|AI,Consumer,core_ai,seed,4,hiring,Share casual moments with the people you care about,"New York, NY, USA",2026-07-08T02:41:54Z,
yc-28991,Inlet,inlet-2,https://inletai.com,yc_oss_api,https://www.ycombinator.com/companies/inlet-2,New York,NY,hq_nyc,Summer 2023,2023,,B2B -> Legal,ai_enabled_vertical_saas,seed,2,hiring,AI timekeeping for legal professionals.,"New York City, NY, USA",2026-07-08T02:41:54Z,
yc-30686,Interface,theinterface,https://www.theinterface.com,yc_oss_api,https://www.ycombinator.com/companies/theinterface,New York,NY,hq_nyc,Summer 2025,2025,AI,Consumer,core_ai,seed,2,hiring,Building onestop.sh,"New York, NY, USA",2026-07-08T02:41:54Z,
yc-30789,Interfere,interfere,https://interfere.com,yc_oss_api,https://www.ycombinator.com/companies/interfere,New York,NY,hq_nyc,Summer 2025,2025,Artificial Intelligence|Developer Tools|Design,"B2B -> Engineering, Product and Design",devtools_ai,seed,7,hiring,Production visibility for teams that ship fast,"New York, NY, USA",2026-07-08T02:41:54Z,
yc-30685,IronLedger.ai,ironledger-ai,https://ironledger.ai,yc_oss_api,https://www.ycombinator.com/companies/ironledger-ai,New York,NY,hq_nyc,Summer 2025,2025,,Real Estate and Construction -> Housing and Real Estate,ai_enabled_vertical_saas,seed,2,hiring,AI-enabled Corporate Cards and Invoice Processing for Real Estate,"New York City, NY, USA",2026-07-08T02:41:54Z,
yc-29245,Kabilah,kabilah,https://www.kabilah.com,yc_oss_api,https://www.ycombinator.com/companies/kabilah,New York,NY,hq_nyc,Winter 2024,2024,Generative AI|Digital Health|Healthcare|AI,Healthcare,health_ai,seed,,hiring,Pioneering Generative AI for Nursing,"New York City, NY, USA",2026-07-08T02:41:54Z,
yc-30056,Keye,keye,https://www.keye.co,yc_oss_api,https://www.ycombinator.com/companies/keye,New York,NY,hq_nyc,Fall 2024,2024,Artificial Intelligence|Finance|Investing|Enterprise Software|AI,Fintech,fintech_ai,seed,3,hiring,The Smartest Private Equity Investor,"New York, NY, USA",2026-07-08T02:41:54Z,
yc-30101,Kilvin,kilvin,https://www.kilvin.ai,yc_oss_api,https://www.ycombinator.com/companies/kilvin,New York,NY,hq_nyc,Fall 2024,2024,Developer Tools|Productivity|Data Engineering|Automation|AI,"B2B -> Engineering, Product and Design",devtools_ai,seed,3,hiring,Custom software for non-technical teams.,"New York, NY, USA",2026-07-08T02:41:54Z,
yc-28218,Kyber,kyber,https://askkyber.com,yc_oss_api,https://www.ycombinator.com/companies/kyber,New York,NY,hq_nyc,Winter 2023,2023,Generative AI|SaaS|Insurance|Enterprise|Regtech,B2B -> Operations,fintech_ai,seed,5,hiring,"Instantly draft, review, and send complex regulatory notices.","New York, NY, USA",2026-07-08T02:41:54Z,
yc-12057,Landed,landed-2,https://www.gotlanded.com,yc_oss_api,https://www.ycombinator.com/companies/landed-2,New York,NY,hq_nyc,Winter 2019,2019,Marketplace|Recruiting,B2B -> Recruiting and Talent,ai_enabled_vertical_saas,seed,50,hiring,Generative AI for frontline worker hiring,"New York City, NY, USA",2026-07-08T02:41:54Z,
